Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
poket1202,ja,unknown,,35526,2001,27,6.0
mrjedroot,en,male,,3465,161,8,5.0
pierre_dbl,en,male,,1390,59,0,4.0
bautistazorio,unknown,unknown,,37421,1160,14,3.0
kogenatsu920,en,unknown,,172981,3567,12,2.0
noboomanzaishi,ja,unknown,,1015455,66429,324,7.000000000000001
koyabukazutoyo_shinkigeki,ja,unknown,,1403524,16809,30,1.0
baadgaalririi,en,unknown,,191389,2191,18,1.0
margaret__zhang,en,male,,927224,12973,143,1.0
matchesfashion,en,female,,524411,1964,20,0.0
emiliawickstead,en,unknown,,84668,520,4,1.0
kenjikitamura,it,male,,2018,117,2,6.0
shu_konishi,ja,male,,14331,471,1,3.0
kyoshiro0807,ja,unknown,,439,58,4,14.000000000000002
itsjeremyscott,en,male,,1784378,11980,107,1.0
pameopose,ja,male,,70095,853,1,1.0
unaginigaoe,ja,unknown,,47064,1449,43,3.0
sara_lemur,en,male,,55139,2285,21,4.0
yamashitaphoto,en,male,,1407865,32828,208,2.0
simply_bebe_,en,male,,528762,13973,271,3.0
rolaofficial,unknown,unknown,,4783364,138511,0,3.0
jamosa148,ja,unknown,,5479,143,1,3.0
fudatzkee,da,male,,34970,840,4,2.0
vintagevandal,en,male,,144916,3750,38,3.0
kubotakazunobu,ja,unknown,,160460,9390,93,6.0
kellysoooreal,ja,unknown,,20200,149,1,1.0
chiaki77777,ja,unknown,,121466,2133,1,2.0
momomiau,en,unknown,,221,15,0,7.000000000000001
manualdacozinha,pt,male,,627885,6165,325,1.0
viviennepineapplepizzadreamer,pl,unknown,,2589,45,1,2.0
alfinetei,pt,male,,7714265,110529,6494,2.0
natgeo,en,unknown,,86988159,404880,1921,0.0
besta_hesta,en,female,,42882,2193,40,5.0
davidgomezmaestre,unknown,male,,49648,3657,24,7.000000000000001
maryamnyc,en,female,,1138569,10676,588,1.0
limecrimemakeup,en,male,,3356445,12487,50,0.0
tom_van_basten,en,male,,16892,702,2,4.0
melformakeup,pl,unknown,,2282835,3917,111,0.0
ophelia_overdose,en,male,,152502,3546,46,2.0
newinventions,en,unknown,,438536,3312,46,1.0
sincerelyjules,en,unknown,,4783833,57253,538,1.0
itsstellarose,en,female,,87698,1323,17,2.0
littlebodybigheart,da,male,,5027949,652746,0,13.0
junichi_yamaguchi,en,unknown,,80892,2009,10,2.0
harutanaka2011,ja,unknown,,3147,410,5,13.0
catcopy_official,en,unknown,,27331,259,0,1.0
kristinapimenova2005,en,unknown,,2145609,105460,916,5.0
khloekardashian,en,unknown,,74248564,1692143,8025,2.0
ellenvlora,en,female,,426611,12557,173,3.0
judychou0608,en,female,,71256,1347,6,2.0
lindsaylohan,nl,male,,6426703,158410,1609,2.0
bestvinesnow,en,male,,5004348,49628,2354,1.0
bestvidsnow,en,male,,3588463,26724,1082,1.0
fun_bestvids,en,male,,6709175,51984,2915,1.0
thelmaaoyama,unknown,male,,935070,41852,236,5.0
aronbc,ja,male,,1699,91,4,6.0
mayukoarisue,en,unknown,,118267,1820,5,2.0
hattiestewart,en,male,,67122,1178,9,2.0
bkb_bkb_bkb,ja,unknown,,69100,3096,21,5.0
yasuaki_ichimura,en,male,,2310,74,2,3.0
nas,fi,male,,4027461,68404,994,2.0
hair_ism,ja,unknown,,10206,200,2,2.0
animals_video,en,male,,2262250,25725,1000,1.0
meguruyamaguchi,da,male,,12823,846,12,7.000000000000001
yuk00shima,unknown,male,,1281114,41259,762,3.0
tunameltsmyheart,en,unknown,,1946241,56875,790,3.0
instaousado,pt,unknown,,2039370,16282,875,1.0
ladygaga,unknown,male,,28066562,352665,3450,1.0
gotham_gold,en,male,,248,28,1,12.0
yumass_44,en,unknown,,936,63,1,7.000000000000001
nowhere_fc,en,male,,18603,879,10,5.0
blacchyna,en,female,,14140945,106328,594,1.0
kimkardashian,da,female,,109617660,1942838,16717,2.0
feralcreature,en,female,,430665,7852,75,2.0
sissonne_jiro,ja,unknown,,40759,3256,21,8.0
monicasordobk,en,female,,27822,449,19,2.0
nicolerichie,en,male,,4048779,47061,657,1.0
toriicamera,en,unknown,,4676,173,3,4.0
xkatyperry,en,male,,575740,5812,45,1.0
kaotic_von,en,male,,173781,483,62,0.0
danyostagram,en,female,,58301,5540,20,10.0
bradleytheodore,en,unknown,,63202,951,21,2.0
benibooo,da,unknown,,228987,5455,27,2.0
redcarpetman,en,unknown,,606622,6247,14,1.0
saramary12,ja,unknown,,131954,1903,7,1.0
masami_nagasawa,unknown,unknown,,2457610,66272,494,3.0
munehirovoice,ja,unknown,,298093,8496,35,3.0
chaelincl,unknown,male,,6871412,302865,3929,4.0
mileycyrus,en,male,,74895469,546176,3914,1.0
lilyallen,rn,unknown,,827927,27326,360,3.0
majorlazer,en,male,,3395200,43461,325,1.0
miamatangi,it,unknown,,870777,35297,423,4.0
fuckjerry,en,male,,13452443,484310,15701,4.0
kenleycollins,en,male,,83298,710,9,1.0
whitneylaurenco,en,unknown,,2510,102,3,4.0
modernjunecleaver,en,male,,91311,3972,62,4.0
pinupgirlclothing,en,male,,460293,1289,7,0.0
kellyosbourne,en,male,,2212374,50181,735,2.0
xoxlilinxox,en,unknown,,6571,207,6,3.0
tinatassels,en,female,,2734,41,2,2.0
patriciafield,en,male,,90702,755,13,1.0
tatyanaboutique,en,female,,49918,439,5,1.0
songofstyle,en,male,,4788593,38629,431,1.0
riechinladidadi,en,unknown,,10820,206,2,2.0
higashinodesu,ja,unknown,,380510,11803,85,3.0
okamuradesu,unknown,unknown,,1355857,120198,647,9.0
sonim_official,en,unknown,,19100,1411,15,7.000000000000001
virginhairobsession,en,male,,132571,294,24,0.0
